,Name,Total,Singles,Doubles
16,"VICENS MAS, ROSA","77,329","76,293","1,036"
17,"ALVES, CAROLINA","76,515","73,307","3,208"
18,"BURILLO ESCORIHUELA, IRENE","75,902","73,910","1,992"
19,"HAVLICKOVA, LUCIE","75,187","72,583","2,603"
20,"BULGARU, MIRIAM","74,902","74,800",101
21,"ZARAZUA, RENATA","73,922","61,106","12,816"
22,"INGLIS, MADDISON","70,331","51,286","1,621"
23,"HESSE, AMANDINE","69,519","64,716","4,803"
24,"STARODUBTSEVA, YULIIA","69,006","62,288","6,718"
25,"ORMAECHEA, PAULA","68,122","67,368",754
26,"GAMIZ, ANDREA","67,312","14,336","52,976"
27,"PATTINAMA KERKHOVE, LESLEY","67,158","64,616","2,542"
28,"KULIKOV, ANGELA","64,076",,"64,076"
29,"CADANTU-IGNATIK, ALEXANDRA","64,072","62,768","1,304"
30,"KESSLER, MCCARTNEY","63,481","59,682","3,799"
31,"LUMSDEN, MAIA","63,442","5,712","57,729"
32,"ALARIO, MIRELLA","61,728",,
33,"KAWA, KATARZYNA","61,625","48,343","13,282"
34,"BARNETT, ALICIA","61,576",,"57,576"
35,"CABRERA, LIZETTE","61,107","32,433","11,250"
36,"DMITRUK, KRISTINA","60,208","57,677","2,531"
37,"HOVDE, LIV","59,371","59,143",228
38,"CHWALINSKA, MAJA","59,316","54,289","5,027"
39,"KAJI, HARUKA","58,605","58,605",
40,"DETIUC, ANASTASIA","56,759",,"56,759"
41,"MELNIKOVA, MARINA","56,500","56,500",
42,"BANDECCHI, SUSAN","56,337","55,413",924
43,"BROGAN, ANNA","56,280","56,280",
44,"PITER, KATARZYNA","55,482",,"55,482"
45,"ROSATELLO, CAMILLA","55,453","32,704","22,749"
0,"APPLETON, EMILY","54,791","29,772","25,018"
1,"HATOUKA, YULIYA","53,894","51,371","2,523"
2,"HERCOG, POLONA","53,420","53,420",
3,"CHONG, EUDICE","51,363","42,368","8,995"
4,"DZALAMIDZE, NATELA","51,161",,"51,161"
5,"KARATANTCHEVA, SESIL","50,962","50,265",697
6,"SHINIKOVA, ISABELLA","50,847","47,251","3,595"
7,"CEPELOVA, JANA","50,780","50,780",
8,"LOEB, JAMIE","50,647","26,736","23,910"
9,"LAMENS, SUZAN","50,569","45,600","4,968"
10,"MARTINEZ CIREZ, CARLOTA","50,213","49,755",458
11,"WURTH, TARA","48,729","46,687","2,042"
12,"ROUVROY, MARGAUX","48,640","46,017","2,623"
13,"AIAVA, DESTANEE","47,725","41,530","6,195"
14,"ZUGER, JOANNE","46,662","46,662",
15,"SILVA, EDEN","46,586","36,052","10,533"
16,"HULE, PETRA","46,068","30,617","15,451"
17,"VEDDER, EVA","45,623","36,629","8,994"
18,"BOZOVIC, ALEXANDRA","45,320","27,864","17,456"
19,"SISKOVA, ANNA","44,762","18,940","25,821"
20,"HOBGARSKI, KATHARINA","44,722","43,084","1,638"
21,"THANDI, KARMAN","44,630","43,794",836
22,"MENDEZ, SEONE","44,189","42,186","2,003"
23,"SCHOOFS, BIBIANE","43,584","21,750","21,834"
24,"TJANDRAMULIA, OLIVIA","43,528","10,401","33,127"
25,"ERJAVEC, VERONIKA","42,874","33,832","9,042"
26,"GORGODZE, EKATERINE","42,549","33,765","8,783"
27,"KORNEEVA, ALINA","42,432","37,659","4,773"
28,"STRAKHOVA, VALERIYA","41,726","23,936","17,789"
29,"GLEASON, QUINN","41,234","10,978","30,256"
30,"HIVES, ZOE","40,881","40,881",
31,"HOSOGI, SAKURA","40,671","39,458","1,213"
32,"DOI, MISAKI","39,222","39,222",
33,"LECHEMIA, ELIXANE","38,532",142,"28,390"
